Timestamp,Player,Punches,Kicks,Movement_X,Movement_Y
1753515382.0342484,Player2,57,70,6,1
1753515382.1588428,Player1,50,48,6,-7
1753515382.1588428,Player2,58,70,6,-7
1753515382.2853394,Player1,50,48,10,-9
1753515382.2853394,Player2,59,70,10,-9
1753515382.4101844,Player1,50,49,11,-16
1753515382.4101844,Player2,60,70,11,-16
1753515382.537924,Player1,50,49,538,-20
1753515382.537924,Player2,61,70,538,-20
1753515382.664191,Player1,51,49,0,0
1753515382.664191,Player2,61,70,0,0
1753515382.7903957,Player1,52,49,0,1
1753515382.7903957,Player2,61,70,0,1
1753515382.9160502,Player1,53,49,0,1
1753515382.9160502,Player2,61,70,0,1
1753515383.0428388,Player1,53,49,0,1
1753515383.0428388,Player2,61,70,0,1
1753515383.1687343,Player1,53,50,0,0
1753515383.1687343,Player2,61,70,0,0
1753515383.2958808,Player1,53,51,-388,-352
1753515383.2958808,Player2,62,70,-388,-352
1753515383.420663,Player1,53,52,-1,0
1753515383.420663,Player2,62,70,-1,0
1753515383.547212,Player1,53,53,389,354
1753515383.547212,Player2,62,71,389,354
1753515383.6739707,Player1,53,53,-395,-352
1753515383.6739707,Player2,63,71,-395,-352
1753515383.8011549,Player1,54,53,-3,2
1753515383.8011549,Player2,63,71,-3,2
1753515383.927154,Player1,54,54,-4,2
1753515383.927154,Player2,63,71,-4,2
1753515384.0534513,Player1,55,54,396,354
1753515384.0534513,Player2,63,72,396,354
1753515384.179397,Player1,55,54,-404,-352
1753515384.179397,Player2,64,72,-404,-352
1753515384.3048515,Player1,55,55,-5,0
1753515384.3048515,Player2,64,72,-5,0
1753515384.4158478,Player1,56,55,-4,0
1753515384.4158478,Player2,64,72,-4,0
1753515384.5430698,Player1,57,55,-4,1
1753515384.5430698,Player2,64,72,-4,1
1753515384.669417,Player1,57,56,-4,0
1753515384.669417,Player2,64,72,-4,0
1753515384.7801063,Player1,57,56,-33,298
1753515384.7801063,Player2,64,73,-33,298
1753515384.9064722,Player1,57,56,12,4
1753515384.9064722,Player2,64,74,12,4
1753515385.0326881,Player1,58,56,-5,4
1753515385.0326881,Player2,64,75,-5,4
1753515385.1588683,Player1,58,57,-8,5
1753515385.1588683,Player2,64,76,-8,5
1753515385.2861686,Player1,58,57,-6,3
1753515385.2861686,Player2,64,77,-6,3
1753515385.4276006,Player1,59,57,-18,2
1753515385.4276006,Player2,64,78,-18,2
1753515385.5539324,Player1,59,58,-4,0
1753515385.5539324,Player2,64,78,-4,0
1753515385.697019,Player1,60,58,-2,0
1753515385.697019,Player2,64,78,-2,0
1753515385.8236318,Player1,60,58,1,0
1753515385.8236318,Player2,64,78,1,0
1753515385.9515324,Player1,60,59,2,-2
1753515385.9515324,Player2,64,78,2,-2
1753515386.077663,Player1,60,60,2,-2
1753515386.077663,Player2,64,78,2,-2
1753515386.2044125,Player1,61,60,2,0
1753515386.2044125,Player2,64,78,2,0
1753515386.3296163,Player1,61,61,7,0
1753515386.3296163,Player2,64,78,7,0
1753515386.440349,Player1,61,62,-1,2
1753515386.440349,Player2,64,78,-1,2
1753515386.5658739,Player1,61,62,2,2
1753515386.5658739,Player2,64,78,2,2
1753515386.692108,Player1,62,62,2,1
1753515386.692108,Player2,64,78,2,1
1753515386.8197114,Player1,63,62,1,-1
1753515386.8197114,Player2,64,78,1,-1
1753515386.9306903,Player1,63,63,0,-4
1753515386.9306903,Player2,64,78,0,-4
1753515387.0419266,Player1,64,63,0,-5
1753515387.0419266,Player2,64,78,0,-5
1753515387.1682038,Player1,64,64,-1,-4
1753515387.1682038,Player2,64,78,-1,-4
1753515387.2952437,Player1,65,64,0,0
1753515387.2952437,Player2,64,78,0,0
1753515387.4206614,Player1,65,65,2,-5
1753515387.4206614,Player2,65,78,2,-5
1753515387.546154,Player1,65,66,33,-4
1753515387.546154,Player2,66,78,33,-4
1753515387.673552,Player1,66,66,4,-3
1753515387.673552,Player2,66,78,4,-3
1753515387.7827587,Player1,67,66,3,-1
1753515387.7827587,Player2,66,78,3,-1
1753515387.8937676,Player1,68,66,2,1
1753515387.8937676,Player2,66,78,2,1
1753515388.0044224,Player1,69,66,2,1
1753515388.0044224,Player2,66,78,2,1
1753515388.1315823,Player1,70,66,-30,1
1753515388.1315823,Player2,66,79,-30,1
1753515388.2585452,Player1,70,67,-162,-148
1753515388.2585452,Player2,67,79,-162,-148
1753515388.384595,Player1,71,67,-6,1
1753515388.384595,Player2,67,80,-6,1
1753515388.5102334,Player1,72,67,-5,1
1753515388.5102334,Player2,67,81,-5,1
1753515388.636467,Player1,73,67,-5,1
1753515388.636467,Player2,67,82,-5,1
1753515388.7638545,Player1,74,67,-4,0
1753515388.7638545,Player2,67,82,-4,0
1753515388.891843,Player1,75,67,-5,2
1753515388.891843,Player2,67,83,-5,2
1753515389.0039535,Player1,76,67,-3,1
1753515389.0039535,Player2,67,83,-3,1
1753515389.1293375,Player1,76,67,-3,0
1753515389.1293375,Player2,67,83,-3,0
1753515389.2563257,Player1,76,67,-3,-1
1753515389.2563257,Player2,67,83,-3,-1
1753515389.3673387,Player1,76,67,-3,-2
1753515389.3673387,Player2,67,83,-3,-2
1753515389.4795532,Player1,77,67,-2,1
1753515389.4795532,Player2,67,83,-2,1
1753515389.5895646,Player1,78,67,-45,2
1753515389.5895646,Player2,67,84,-45,2
1753515389.7161908,Player1,78,67,32,1
1753515389.7161908,Player2,67,85,32,1
1753515389.8432865,Player1,79,67,30,3
1753515389.8432865,Player2,67,86,30,3
1753515389.9690025,Player1,79,67,14,1
1753515389.9690025,Player2,67,87,14,1
1753515390.0958307,Player1,79,67,-46,2
1753515390.0958307,Player2,67,88,-46,2
1753515390.2223713,Player1,80,67,44,-1
1753515390.2223713,Player2,68,88,44,-1
1753515390.3344412,Player1,80,67,14,2
1753515390.3344412,Player2,68,89,14,2
1753515390.4455726,Player1,80,68,-88,3
1753515390.4455726,Player2,68,90,-88,3
1753515390.5714352,Player1,80,68,6,1
1753515390.5714352,Player2,68,91,6,1
1753515390.696926,Player1,80,68,76,1
1753515390.696926,Player2,68,92,76,1
1753515390.8247364,Player1,80,68,0,2
1753515390.8247364,Player2,68,92,0,2
1753515390.9504266,Player1,81,68,-10,0
1753515390.9504266,Player2,68,92,-10,0
1753515391.0772042,Player1,81,68,-2,1
1753515391.0772042,Player2,68,92,-2,1
1753515391.2028024,Player1,81,68,-53,2
1753515391.2028024,Player2,68,93,-53,2
1753515391.313382,Player1,81,69,45,0
1753515391.313382,Player2,68,93,45,0
1753515391.4398658,Player1,81,70,-2,0
1753515391.4398658,Player2,68,93,-2,0
1753515391.5684276,Player1,81,71,-60,1
1753515391.5684276,Player2,68,94,-60,1
1753515391.6927984,Player1,81,72,57,2
1753515391.6927984,Player2,68,95,57,2
1753515391.8191192,Player1,81,73,7,1
1753515391.8191192,Player2,68,96,7,1
1753515391.929841,Player1,81,74,-64,2
1753515391.929841,Player2,68,97,-64,2
1753515392.0418205,Player1,81,75,56,2
1753515392.0418205,Player2,68,98,56,2
1753515392.1533587,Player1,81,76,-56,0
1753515392.1533587,Player2,68,98,-56,0
1753515392.2807364,Player1,81,77,0,0
1753515392.2807364,Player2,68,98,0,0
1753515392.40639,Player1,81,78,0,1
1753515392.40639,Player2,68,98,0,1
1753515392.5334127,Player1,81,79,0,-2
1753515392.5334127,Player2,68,98,0,-2
1753515392.6594818,Player1,81,80,0,-1
1753515392.6594818,Player2,68,98,0,-1
1753515392.784323,Player1,81,81,0,-2
1753515392.784323,Player2,68,98,0,-2
1753515392.8942282,Player1,81,82,0,-3
1753515392.8942282,Player2,68,98,0,-3
1753515393.0061066,Player1,81,83,11,52
1753515393.0061066,Player2,68,99,11,52
1753515393.1323147,Player1,81,84,-11,-52
1753515393.1323147,Player2,69,99,-11,-52
1753515393.2603266,Player1,81,84,0,-1
1753515393.2603266,Player2,69,99,0,-1
1753515393.3855278,Player1,81,85,20,-1
1753515393.3855278,Player2,70,99,20,-1
1753515393.5110815,Player1,81,85,-4,53
1753515393.5110815,Player2,70,100,-4,53
1753515393.6386383,Player1,81,85,28,-54
1753515393.6386383,Player2,71,100,28,-54
1753515393.7643108,Player1,81,85,0,0
1753515393.7643108,Player2,71,100,0,0
1753515393.8895714,Player1,81,85,38,0
1753515393.8895714,Player2,71,100,38,0
1753515394.000174,Player1,81,85,-2,0
1753515394.000174,Player2,71,100,-2,0
1753515394.1276357,Player1,81,85,-80,0
1753515394.1276357,Player2,71,100,-80,0
1753515394.253649,Player1,81,85,0,0
1753515394.253649,Player2,71,100,0,0
1753515394.3656464,Player1,81,85,0,0
1753515394.3656464,Player2,71,100,0,0
1753515394.4916444,Player1,81,85,0,1
1753515394.4916444,Player2,71,100,0,1
1753515394.6196506,Player1,81,85,0,0
1753515394.6196506,Player2,71,100,0,0
1753515394.7456534,Player1,81,85,0,55
1753515394.7456534,Player2,71,101,0,55
1753515394.8717282,Player1,81,86,24,-55
1753515394.8717282,Player2,72,101,24,-55
1753515394.9996119,Player1,82,86,0,-1
1753515394.9996119,Player2,72,101,0,-1
1753515395.1267893,Player1,82,86,0,0
1753515395.1267893,Player2,72,101,0,0
1753515395.2525249,Player1,82,86,0,-1
1753515395.2525249,Player2,72,101,0,-1
1753515395.3646688,Player1,82,87,0,-1
1753515395.3646688,Player2,72,101,0,-1
1753515395.4744709,Player1,83,87,0,-2
1753515395.4744709,Player2,72,101,0,-2
1753515395.599841,Player1,83,87,0,0
1753515395.599841,Player2,72,101,0,0
1753515395.724849,Player1,83,87,0,0
1753515395.724849,Player2,72,101,0,0
1753515395.850873,Player1,83,88,0,0
1753515395.850873,Player2,72,101,0,0
1753515395.961841,Player1,84,88,0,0
1753515395.961841,Player2,72,101,0,0
1753515396.0737665,Player1,85,88,0,-1
1753515396.0737665,Player2,72,101,0,-1
1753515396.185031,Player1,85,88,0,-1
